bairro_origem,bairro_destino,logradouro,observacao,peso
recife,santo amaro,ponte do limoeiro,acesso via avenida norte,1.0
recife,santo antonio,ponte buarque de macedo,acesso via avenida rio branco,1.0
recife,sao jose,ponte giratória,acesso via avenida alfredo lisboa,1.0
santo amaro,santo antonio,ponte princesa isabel,acesso via rua princesa isabel,1.0
santo amaro,boa vista,rua do hospicio,,1.0
santo amaro,soledade,rua bispo cardoso ayres,,1.0
santo amaro,espinheiro,avenida joao de barros,,1.0
santo amaro,torreao,avenida norte,,1.0
santo amaro,campo grande,avenida doutor jaime da fonte,,1.0
boa vista,santo antonio,ponte duarte coelho,acesso via avenida conde da boa vista,1.0
boa vista,coelhos,rua jose de alencar,,1.0
boa vista,ilha do leite,rua joaquim de brito,,1.0
boa vista,paissandu,rua general joaquim inacio,,1.0
boa vista,derby,avenida governador carlos de lima cavalcanti,,1.0
boa vista,gracas,rua doutor bandeira filho,,1.0
boa vista,espinheiro,rua buenos aires,,1.0
boa vista,soledade,rua da soledade,,1.0
cabanga,pina,ponte governador paulo guerra,acesso via rua saturnino de brito,1.0
cabanga,afogados,rua nova da cabanga,,1.0
cabanga,sao jose,rua bituri,acesso via pontilhao - passagem inferior,1.0
ilha do leite,coelhos,rua estado de israel,,1.0
ilha do leite,ilha joana bezerra,ponte jose barros lima,acesso via avenida governador agamenon magalhaes,1.0
ilha do leite,paissandu,rua general joaquim inacio,,1.0
paissandu,ilha joana bezerra,ponte jose barros lima,acesso via avenida governador agamenon magalhaes,1.0
paissandu,ilha do retiro,ponte prefeito lima e castro,acesso via rua sport club do recife,1.0
paissandu,derby,avenida governador agamenon magalhaes,,1.0
santo antonio,sao jose,avenida dantas barreto,,1.0
santo antonio,coelhos,rua doutor jose mariano,,1.0
sao jose,brasilia teimosa,,,1.0
sao jose,pina,,,1.0
sao jose,afogados,,,1.0
sao jose,ilha joana bezerra,rua cabo eutropio,acesso via pontilhao - passagem inferior,1.0
sao jose,coelhos,,,1.0
coelhos,ilha joana bezerra,ponte viaduto poeta joaquim cardoso,acesso via rua dos coelhos,1.0
ilha joana bezerra,afogados,,,1.0
ilha joana bezerra,ilha do retiro,ponte gregorio bezerra,acesso via avenida beira rio,1.0
arruda,campo grande,rua maio sete,,1.0
arruda,ponto de parada,avenida beberibe,,1.0
arruda,tamarineira,estrada velha de agua fria,,1.0
arruda,mangabeira,rua da lira,,1.0
arruda,bomba do hemeterio,rua bomba do hemeterio,,1.0
arruda,agua fria,avenida beberibe,,1.0
arruda,campina do barreto,rua das mocas,,1.0
arruda,peixinhos,avenida professor jose dos anjos,,1.0
campina do barreto,agua fria,rua das mocas,,1.0
campina do barreto,fundao,rua coronel urbano,,1.0
campina do barreto,cajueiro,rua dos peixinhos,,1.0
campina do barreto,peixinhos,avenida poeta vinicius de moraes,,1.0
campo grande,torreao,rua candido lacerda,,1.0
campo grande,encruzilhada,rua visconde de cairu,,1.0
