bairro,grau,ordem_ego,tamanho_ego,densidade_ego
aflitos,4,5,9,0.9
afogados,9,10,16,0.35555555555555557
agua fria,8,9,16,0.4444444444444444
alto do mandu,5,6,10,0.6666666666666666
alto jose bonifacio,6,7,13,0.6190476190476191
alto jose do pinho,7,8,16,0.5714285714285714
alto santa terezinha,6,7,13,0.6190476190476191
apipucos,7,8,14,0.5
areias,8,9,17,0.4722222222222222
arruda,8,9,16,0.4444444444444444
barro,5,6,9,0.6
beberibe,4,5,7,0.7
boa viagem,5,6,7,0.4666666666666667
boa vista,9,10,18,0.4
bomba do hemeterio,5,6,10,0.6666666666666666
bongi,4,5,8,0.8
brasilia teimosa,1,2,1,1.0
brejo da guabiraba,5,6,10,0.6666666666666666
brejo de beberibe,7,8,14,0.5
cabanga,3,4,4,0.6666666666666666
cacote,2,3,3,1.0
cajueiro,3,4,5,0.8333333333333334
campina do barreto,5,6,9,0.6
campo grande,7,8,14,0.5
casa amarela,11,12,23,0.3484848484848485
casa forte,4,5,8,0.8
caxanga,5,6,8,0.5333333333333333
cidade universitaria,4,5,7,0.7
coelhos,5,6,10,0.6666666666666666
coqueiral,3,4,5,0.8333333333333334
cohab,3,4,5,0.8333333333333334
cordeiro,7,8,13,0.4642857142857143
corrego do jenipapo,6,7,12,0.5714285714285714
curado,9,10,17,0.37777777777777777
derby,5,6,10,0.6666666666666666
dois irmaos,5,6,9,0.6
dois unidos,4,5,7,0.7
encruzilhada,8,9,19,0.5277777777777778
engenho do meio,5,6,10,0.6666666666666666
espinheiro,6,7,13,0.6190476190476191
estancia,4,5,8,0.8
fundao,4,5,8,0.8
gracas,10,11,22,0.4
guabiraba,5,6,8,0.5333333333333333
hipodromo,3,4,6,1.0
ibura,8,9,17,0.4722222222222222
ilha do leite,4,5,8,0.8
ilha do retiro,6,7,11,0.5238095238095238
ilha joana bezerra,5,6,9,0.6
imbiribeira,6,7,12,0.5714285714285714
ipsep,3,4,6,1.0
iputinga,6,7,10,0.47619047619047616
jaqueira,5,6,10,0.6666666666666666
jardim sao paulo,6,7,12,0.5714285714285714
jiquia,6,7,12,0.5714285714285714
jordao,3,4,5,0.8333333333333334
linha do tiro,6,7,12,0.5714285714285714
macaxeira,4,5,8,0.8
madalena,6,7,12,0.5714285714285714
mangabeira,5,6,11,0.7333333333333333
mangueira,4,5,8,0.8
monteiro,5,6,9,0.6
morro da conceicao,5,6,11,0.7333333333333333
mustardinha,4,5,8,0.8
nova descoberta,7,8,14,0.5
paissandu,5,6,10,0.6666666666666666
parnamirim,5,6,10,0.6666666666666666
passarinho,4,5,7,0.7
pau-ferro,1,2,1,1.0
peixinhos,3,4,5,0.8333333333333334
pina,3,4,3,0.5
poco da panela,4,5,7,0.7
ponto de parada,6,7,13,0.6190476190476191
porto da madeira,4,5,7,0.7
prado,7,8,14,0.5
recife,3,4,5,0.8333333333333334
rosarinho,5,6,11,0.7333333333333333
san martin,10,11,20,0.36363636363636365
sancho,4,5,8,0.8
santana,5,6,9,0.6
santo amaro,7,8,13,0.4642857142857143
santo antonio,5,6,10,0.6666666666666666
sao jose,6,7,10,0.47619047619047616
setubal,1,2,1,1.0
sitio dos pintos,2,3,3,1.0
soledade,2,3,3,1.0
tamarineira,9,10,19,0.4222222222222222
tejipio,5,6,9,0.6
torre,6,7,11,0.5238095238095238
torreao,4,5,8,0.8
torroes,4,5,8,0.8
toto,3,4,5,0.8333333333333334
vasco da gama,5,6,10,0.6666666666666666
varzea,3,4,4,0.6666666666666666
zumbi,4,5,8,0.8
