bairro,grau
aflitos,4
afogados,9
agua fria,8
alto do mandu,5
alto jose bonifacio,6
alto jose do pinho,7
alto santa terezinha,6
apipucos,7
areias,8
arruda,8
barro,5
beberibe,4
boa viagem,5
boa vista,9
bomba do hemeterio,5
bongi,4
brasilia teimosa,1
brejo da guabiraba,5
brejo de beberibe,7
cabanga,3
cacote,2
cajueiro,3
campina do barreto,5
campo grande,7
casa amarela,11
casa forte,4
caxanga,5
cidade universitaria,4
coelhos,5
coqueiral,3
cohab,3
cordeiro,7
corrego do jenipapo,6
curado,9
derby,5
dois irmaos,5
dois unidos,4
encruzilhada,8
engenho do meio,5
espinheiro,6
estancia,4
fundao,4
gracas,10
guabiraba,5
hipodromo,3
ibura,8
ilha do leite,4
ilha do retiro,6
ilha joana bezerra,5
imbiribeira,6
ipsep,3
iputinga,6
jaqueira,5
jardim sao paulo,6
jiquia,6
jordao,3
linha do tiro,6
macaxeira,4
madalena,6
mangabeira,5
mangueira,4
monteiro,5
morro da conceicao,5
mustardinha,4
nova descoberta,7
paissandu,5
parnamirim,5
passarinho,4
pau-ferro,1
peixinhos,3
pina,3
poco da panela,4
ponto de parada,6
porto da madeira,4
prado,7
recife,3
rosarinho,5
san martin,10
sancho,4
santana,5
santo amaro,7
santo antonio,5
sao jose,6
setubal,1
sitio dos pintos,2
soledade,2
tamarineira,9
tejipio,5
torre,6
torreao,4
torroes,4
toto,3
vasco da gama,5
varzea,3
zumbi,4
